PROV,KAB_KOT,JUM_PEN,LUAS_WILAYAH_KM2,PDRB_TOTAL_MILYAR,TOTAL_BTS,HLS_AVG
Aceh,Aceh Barat,206800,2782.87,14828.76,499,14.99
Aceh,Aceh Barat Daya,154997,1882.28,5788.24,326,14.275
Aceh,Aceh Besar,439048,2891.48,19555.16,1822,15.21
Aceh,Aceh Jaya,100674,3872.35,3878.75,205,14.15
Aceh,Aceh Selatan,238021,4175.38,8035.17,461,14.8
Aceh,Aceh Singkil,138792,1852.82,3744.49,312,14.285
Aceh,Aceh Tamiang,310483,2187.66,12005.78,640,14.41
Aceh,Aceh Tengah,230771,4468.42,11503.56,362,15.01
Aceh,Aceh Tenggara,233627,4179.12,7230.21,260,14.685
Aceh,Aceh Timur,454723,5409.41,15720.96,858,13.02
Aceh,Aceh Utara,633633,2705.26,30809.53,1316,14.88
Aceh,Bener Meriah,179006,1907.4,7053.89,280,13.96
Aceh,Bireuen,462836,1796.99,19823.76,1292,15.11
Aceh,Gayo Lues,106136,5541.29,3799.99,131,14.695
Aceh,Banda Aceh,262962,56.77,27963.46,1382,17.99
Aceh,Langsa,182616,224.24,7723.06,464,15.93
Aceh,Lhokseumawe,197339,132.97,12720.91,618,15.645
Aceh,Sabang,42717,122.06,1973.97,167,15.09
Aceh,Subulussalam,105553,1183.6,2988.08,199,15.16
Aceh,Nagan Raya,179108,3524.16,13307.88,367,14.235
Aceh,Pidie,448131,3177.49,15561.75,1071,14.65
Aceh,Pidie Jaya,165080,939,5014.53,408,15.095
Aceh,Simeulue,96510,1821.75,3437.91,183,14.67
Bali,Badung,532500,398.75,81663.17,3872,14.375
Bali,Bangli,259392,526.76,9155,635,12.715
Bali,Buleleng,826193,1322.75,45120.51,1711,13.4
Bali,Gianyar,507746,364.36,36116.87,1741,14.135
Bali,Jembrana,329353,849.13,18236.31,852,13.11
Bali,Karangasem,536477,839.32,21804.41,1066,12.915
Bali,Klungkung,222763,313.96,12003.73,586,13.55
Bali,Denpasar,670210,125.87,71099.12,3910,14.18
Bali,Tabanan,476472,849.31,29983.84,1408,13.38
Banten,Cilegon,476867,162.51,148562.63,1413,14.065
Banten,Kota Serang,743748,265.79,108865.89,1817,13.19
Banten,Kota Tangerang,1927815,178.35,199839.37,5642,12.92
Banten,Tangerang Selatan,1429529,164.86,119858.7,5333,14.69
Banten,Lebak,1506378,3312.18,40576.64,2430,12.145
Banten,Pandeglang,1413897,2771.41,38754.23,2379,13.84
Banten,Serang,1756816,1469.66,108865.89,3311,13.19
Banten,Tangerang,3373149,1027.76,199839.37,8351,12.92
Bengkulu,Bengkulu Selatan,176459,1220.21,8507.58,302,13.95
Bengkulu,Bengkulu Tengah,125263,1132.3,7175.14,271,13.58
Bengkulu,Bengkulu Utara,307507,4481.99,13676.46,718,12.995
Bengkulu,Kaur,135182,2608.91,5390.27,222,13.26
Bengkulu,Kepahiang,155520,749.39,6858.36,239,13.675
Bengkulu,Bengkulu,394192,150.31,35724.28,1199,13.93
Bengkulu,Lebong,114774,1666.62,4931.15,179,12.89
Bengkulu,Mukomuko,203525,4138.68,8306.43,453,13.5538888888889
Bengkulu,Rejang Lebong,287248,1548.99,14026.51,549,14.22
Bengkulu,Seluma,215354,2432.81,6851.38,390,13.485
Yogyakarta,Bantul,976573,511.71,39170.71,2429,15.825
Yogyakarta,GunungKidul,776584,1477.39,28869.98,1323,16.30875
Yogyakarta,Kota Yogyakarta,415021,32.82,52848.54,1140,17.615
Yogyakarta,Kulon Progo,444516,577.22,17929.51,906,14.995
Yogyakarta,Sleman,1118353,574.73,69114.42,3509,16.8
Jakarta Raya,Kepulauan Seribu,30414,10.73,7451.41,128,13.4063189170847
Jakarta Raya,Jakarta Barat,2578352,125,670134.94,7639,13.4063189170847
Jakarta Raya,Jakarta Pusat,1072639,47.56,985621.24,5962,13.4063189170847
Jakarta Raya,Jakarta Selatan,2359008,144.94,907809.26,10576,13.4063189170847
Jakarta Raya,Jakarta Timur,3254977,185.54,674156.6,8013,13.4063189170847
Jakarta Raya,Jakarta Utara,1839801,147.46,713972.45,6095,13.4063189170847
Gorontalo,Boalemo,152098,1831.05,7505.21,203,12.585
Gorontalo,Bone Bolango,173416,1889,6488.8,462,14.085
Gorontalo,Gorontalo,421699,2160.36,18504.77,945,13.37
Gorontalo,Gorontalo Utara,131338,1724.4,4783.8,227,12.885
Gorontalo,Kota Gorontalo,203812,70.93,18504.77,863,13.37
Gorontalo,Pohuwato,161727,4370.17,9500.96,214,13.259
Jambi,Batang Hari,306652,5371.23,28604.4,693,13.286
Jambi,Bungo,376913,4596.3,29288.06,998,13.005
Jambi,Kerinci,270576,3445.2,15810.23,451,14.225
Jambi,Jambi,641022,169.89,47102.89,2117,13.43
Jambi,Sungai Penuh,101716,364.92,11078.92,160,15.02
Jambi,Merangin,393299,7540.12,27872.46,847,12.525
Jambi,Muaro Jambi,449751,5459.23,43945.36,1434,13.495
Jambi,Sarolangun,310287,5935.89,24648.62,546,12.795
Jambi,Tanjung Jabung B,334316,5546.06,61822.99,706,12.89
Jambi,Tanjung Jabung T,243796,4313.18,30804.34,490,12.315
Jambi,Tebo,367251,6266.71,24823.83,769,13.16
Jawa Barat,Bandung,3773104,1740.84,179920.82,6635,12.86
Jawa Barat,Bandung Barat,1878507,1283.44,65913.62,3672,12.255
Jawa Barat,Bekasi,3289743,1251.02,451511.53,8473,13.285
Jawa Barat,Bogor,5664537,2991.78,336363.58,12359,12.82
Jawa Barat,Ciamis,1293235,1595.94,46592.84,2411,14.505
Jawa Barat,Cianjur,2584735,3631.92,69317.96,4257,12.41
Jawa Barat,Cirebon,2452563,1071.95,73956.62,3947,12.725
Jawa Barat,Garut,2790435,3101.24,85999.21,4435,12.52
Jawa Barat,Indramayu,1947720,2076.06,114662.65,3363,12.455
Jawa Barat,Karawang,2572553,1913.71,337246.76,6208,12.29
Jawa Barat,Kota Bandung,2579837,166.59,179920.82,7347,12.86
Jawa Barat,Banjar,209182,131.01,5945.71,488,13.445
Jawa Barat,Kota Bekasi,2526133,213.04,451511.53,6817,13.285
Jawa Barat,Kota Bogor,1137018,111.37,336363.58,2506,12.82
Jawa Barat,Cimahi,579906,42.43,46684.22,1107,14.07
Jawa Barat,Kota Cirebon,354679,39.44,73956.62,868,12.725
Jawa Barat,Depok,1967831,199.91,101213.64,5413,14.285
Jawa Barat,Kota Sukabumi,367457,48.31,95380.66,864,12.515
Jawa Barat,Kota Tasikmalaya,761080,183.94,54303.99,1433,12.97
Jawa Barat,Kuningan,1235854,1192.9,41955.26,2201,12.8
Jawa Barat,Majalengka,1364891,1330.17,50566.15,2357,12.5
Jawa Barat,Pangandaran,445158,1128.18,16758.24,914,12.39
Jawa Barat,Purwakarta,1052093,993.09,94835.09,2583,12.53
Jawa Barat,Subang,1649618,2165.55,58570.13,3415,12.425
Jawa Barat,Sukabumi,2821619,4164.15,95380.66,4824,12.515
Jawa Barat,Sumedang,1216309,1566.2,50991.94,2490,13.45
Jawa Barat,Tasikmalaya,1973411,2705.86,54303.99,2760,12.97
Jawa Tengah,Banjarnegara,1068347,1144.9,31351.51,1157,12.035
Jawa Tengah,Banyumas,1864665,1391.15,79803.56,2664,13.55
Jawa Tengah,Batang,849686,857.27,33370.61,1294,12.235
Jawa Tengah,Blora,925434,1957.29,35239.01,1202,12.91
Jawa Tengah,Boyolali,1110346,1096.59,48841.47,1887,13.135
Jawa Tengah,Brebes,2059458,1742.81,66309.53,2431,12.685
Jawa Tengah,Cilacap,2037899,2323.9,142706.51,2949,12.91
Jawa Tengah,Demak,1250863,977.77,38778.51,1571,13.465
Jawa Tengah,Grobogan,1517987,2023.85,40143.91,2002,13.245
Jawa Tengah,Jepara,1275501,1020.57,43448.83,2075,13.025
Jawa Tengah,Karanganyar,952132,803.05,55089,1648,13.625
Jawa Tengah,Kebumen,1441425,1334.1,41520.57,1748,13.505
Jawa Tengah,Kendal,1093046,1008.12,64590.8,1713,13.205
Jawa Tengah,Klaten,1300142,698.27,58434.97,2050,13.54
Jawa Tengah,Kota Magelang,128591,18.56,46981.5,278,12.955
Jawa Tengah,Kota Pekalongan,318182,46.2,32684.21,555,12.74
Jawa Tengah,Salatiga,198372,54.98,19384.47,508,15.5
Jawa Tengah,Kota Semarang,1699585,370,70391.63,4943,13.225
Jawa Tengah,Surakarta,588419,46.72,68789.17,1525,15.055
Jawa Tengah,Kota Tegal,293818,39.07,51416.47,474,13.095
Jawa Tengah,Kudus,874796,447.44,132316.91,1514,13.54
Jawa Tengah,Magelang,1337411,1129.98,46981.5,1851,12.955
Jawa Tengah,Pati,1379022,1572.9,63627.13,1925,13.095
